Week,LNKMABOFIX2,LNKMLOSFIX2,LNAOAVERAGE_2,DLNAOAVERAGE_2L,LNADV_2,RETPROMO,OWNPROMO,MCOS,MSIN,LNADSTOCK,FUELPRICE,LNFUELPRICE,LNLPAS2,LPAS_MSdummy,LPAS_LOSSdummy,LPAS_STDEVdummy
1,19.32716641,20.26173362,1.920698,0.006222147,6.503789047,0,1,-0.499998468,0.866026288,5.010635,7.479,2.0121,4.517082,1,1,1
2,19.31847805,20.2249521,1.921102,0.00040357,6.726633003,0,1,-0.866024298,0.500001915,5.716205,7.76,2.04898,4.525828,1,0,0
3,19.32861511,2.02E+01,1.927739,0.006636927,5.812138499,0,1,-1,2.65E-06,5.737882,7.674,2.03784,4.526341,1,0,0
4,19.27003208,20.27552972,1.944542,0.016803721,5.121977881,1,1,-0.866026952,-0.499997319,5.627854,7.773,2.05066,4.529924,0,0,0
5,19.23712168,20.33146893,1.946369,0.001826742,0,1,1,-0.500003064,-0.866023635,5.372962,7.536,2.01969,4.54706,0,0,0
6,1.94E+01,20.27587394,1.930125,-0.016244403,0,1,1,-3.98E-06,-1,5.118070,7.723,2.0442,4.527769,1,1,0
7,19.45122871,20.30532542,1.931761,0.001636581,7.313886832,1,1,0.49999617,-0.866027615,6.146190,7.833,2.05835,4.516349,1,1,1
8,19.4206509,20.28736141,1.926087,-0.005674344,0,1,1,0.866022971,-0.500004213,5.891297,8.358,2.12322,4.482095,1,1,1
9,19.2331809,2.02E+01,1.935923,0.009836277,0,1,0,1,-5.31E-06,5.636405,8.19,2.10291,4.518291,1,0,0
10,19.43787084,20.22360813,1.941917,0.005993993,0,0,0,0.866025625,0.499999617,5.381513,8.41,2.12942,4.533891,0,0,0
11,19.33482932,20.21195035,1.945823,0.003905283,0,0,0,0.500000766,0.866024962,5.126621,8.462,2.13559,4.530639,0,1,0
12,1.94E+01,20.25990762,1.942449,-0.00337343,0,0,1,1.33E-06,1,4.871728,8.9,2.18605,4.520847,1,1,0
13,19.48148039,20.27219175,1.948924,0.006475174,7.139660336,1,1,-0.499998468,0.866026288,5.952395,9.318,2.23195,4.532048,0,0,0
14,19.28361228,20.33221834,1.942986,-0.005938681,7.182352112,1,1,-0.866024298,0.500001915,6.386874,9.552,2.25675,4.528679,1,1,0
15,19.3497649,2.03E+01,1.947615,0.004629742,0,1,1,-1,2.65E-06,6.131982,9.898,2.29233,4.52499,1,1,0
16,19.36254511,20.30994086,1.961780,0.014164854,6.484400328,1,1,-0.866026952,-0.499997319,6.222348,10.243,2.32659,4.541411,0,0,0
17,19.23838406,20.3519756,1.953954,-0.007826444,6.261638473,1,1,-0.500003064,-0.866023635,6.230881,9.208,2.22007,4.547847,0,0,0
18,1.95E+01,20.29814454,1.945145,-0.008808442,6.261638473,1,1,-3.98E-06,-1,6.237445,8.908,2.18695,4.533084,0,1,0
19,19.48367608,20.3571871,1.945114,-3.17E-05,0,1.00E+00,1,0.49999617,-0.866027615,5.982552,7.524,2.0181,4.503255,1,1,1
20,19.38972168,20.3259128,1.939673,-0.005441158,0,1,1,0.866022971,-0.500004213,5.727660,6.378,1.85285,4.484171,1,1,1
21,19.2431114,2.03E+01,1.945605,0.00593255,0,1,0,1,-5.31E-06,5.472768,6.247,1.8321,4.518793,1,0,0
22,19.41648127,20.26516341,1.945850,0.000244813,7.090909822,1,0,0.866025625,0.499999617,6.119290,6.445,1.8633,4.500722,1,1,1
23,19.35245613,20.21487862,1.950601,0.004750942,0,0,0,0.500000766,0.866024962,5.864397,6.293,1.83944,4.522719,1,0,0
24,1.95E+01,20.24326713,1.956165,0.005564207,0,1,0,1.33E-06,1,5.609505,6.225,1.82857,4.532744,0,0,0
25,19.40508432,20.33421521,1.958329,0.002164388,0,1,1,-0.499998468,0.866026288,5.354613,6.477,1.86826,4.536576,0,0,0
26,19.26860993,20.27793166,1.960071,0.001741731,0,1,1,-0.866024298,0.500001915,5.099721,7.01,1.94734,4.541128,0,0,0
27,19.39777119,2.03E+01,1.961126,0.001054657,5.525452939,1,1,-1,2.65E-06,5.211296,7.425,2.00485,4.542766,0,0,0
28,19.36564649,20.34722418,1.965875,0.00474934,5.525452939,1,1,-0.866026952,-0.499997319,5.289942,7.29,1.9865,4.541777,0,1,0
29,19.19202122,20.34401462,1.953731,-0.012143888,0,1,1,-0.500003064,-0.866023635,5.035050,7.588,2.02657,4.545177,0,0,0
